dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/ok8qvz	1edd3c3f-cfd7-4fd5-bfba-2c67737a17ba	University of Tennessee Vascular Herbarium		25
10.15468/a2o8vy	e05fd4c2-4d77-4c50-880e-1b22096af300	Arizona State University Vascular Plant Herbarium		4
10.15468/cpnhcc	902c8fe7-8f38-45b0-854e-c324fed36303	Moscow University Herbarium (MW)	"Seregin AP (Ed.) 2017. Collection ""Moscow Digital Herbarium"" // Depository of Live Systems (branch ""Plants""): Electronic resource. – Moscow State University, Moscow. – Available at: https://plant.depo.msu.ru/module/collectionpublic?openparams=%5Bopen-id%3D1524305%5D (access date)."	429
10.5886/rzav8bu2	0348540a-e644-4496-89d3-c257da9ad776	Marie-Victorin Herbarium (MT) - Plantes vasculaires	Marie-Victorin Herbarium (MT) from University of Montreal Biodiversity Centre. http://dx.doi.org/10.5886/rzav8bu2 (accessed on [date]).	3
10.15468/6e8nje	d415c253-4d61-4459-9d25-4015b9084fb0	The New York Botanical Garden Herbarium (NY)		96
10.15468/d6rsav	f1277dd4-84c5-4e84-b300-d5a7ac3c1edd	Vascular plants in Danish coastal meadows	Vestergaard P, Calabuig I (2018). Vascular plants in Danish coastal meadows. Version 1.6. Department of Biology, University of Copenhagen. Occurrence dataset https://doi.org/10.15468/d6rsav accessed via GBIF.org on 2020-02-20.	20
10.15468/efhbdp	4139421b-48d8-4bcf-b521-32263fb64977	Herbarium of The Ark Nature Centre		4
10.15468/mdnmzb	af1b4db0-c8ce-4a95-b700-8a6a02bed9d6	University of South Florida Herbarium (USF)	Wunderlin, R. P., B. F. Hansen, A. R. Franck, and F. B. Essig (2017) Atlas of Florida Plants. Florida.PlantAtlas.org. [S.M. Landry and K.N. Campbell (original application development), USF Water Institute]. Institute for Systematic Botany, University of South Florida, Tampa.	7
10.15468/pff0t6	838475f4-f762-11e1-a439-00145eb45e9a	Institut Botanic de Barcelona (IBB, CSIC-Ajuntament de Barcelona), BC-Plantae	Nualart N, Montes N (2021). Institut Botanic de Barcelona (IBB, CSIC-Ajuntament de Barcelona), Version 1.10. Botanical Institute of Barcelona (IBB, CSIC-Ajuntament de Barcelona). Occurrence dataset https://doi.org/10.15468/pff0t6 accessed via GBIF.org on xx-yy-zzz.	1
10.15468/v5wjn7	b89d52a2-861d-4388-adad-c0da3d55fc78	University of Florida Herbarium (FLAS)	Franck A R (2022). University of Florida Herbarium (FLAS). Version 11.1794. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/v5wjn7 accessed via GBIF.org on 2022-09-05.	8
10.15468/dmdck6	5830fa3c-497c-4d37-b771-bd6c84997f2c	Steiermärkisches Landesmuseum Joanneum - Herbarium GJO		5
10.15468/y6xmme	2dda31ff-f776-452f-9a4b-d5229f6e3494	Virtual Herbarium ALTB (South-Siberian Botanical Garden)	Vaganov A (2022): Virtual Herbarium ALTB (South-Siberian Botanical Garden). v1.43. Altai State University. Dataset/Occurrence. http://altb.asu.ru	1
10.15468/sookye	858d51e0-f762-11e1-a439-00145eb45e9a	The Erysiphales Collection at the Botanische Staatssammlung München	Triebel, Dagmar (2020). The Erysiphales Collection at the Botanische Staatssammlung München. [Dataset].  Version: 20201113. Data Publisher: Staatliche Naturwissenschaftliche Sammlungen Bayerns – SNSB IT Center, München. http://www.botanischestaatssammlung.de/DatabaseClients/BSMeryscoll/About.cfm.	16
10.15468/q3yy4u	963a6b96-4d22-4428-86e4-afee52cf4a8e	Species recordings from the Danish National portal Arter.dk	Miljøstyrelsen - The Danish Environmental Protection Agency	176
